mesh0n	2.716
mesh1n	2.799
mesh2n	2.787
mesh0y	2.855
mesh1y	3.051
mesh2y	3.039
jemalloc	2.748
libc	2.815
mesh0n	2.733
mesh1n	2.785
mesh2n	2.786
mesh0y	2.837
mesh1y	3.067
mesh2y	3.082
jemalloc	2.776
libc	2.817
mesh0n	2.761
mesh1n	2.753
mesh2n	2.776
mesh0y	2.857
mesh1y	3.066
mesh2y	3.073
jemalloc	2.765
libc	2.816
mesh0n	2.738
mesh1n	2.758
mesh2n	2.752
mesh0y	2.921
mesh1y	3.070
mesh2y	3.051
jemalloc	2.757
libc	2.843
mesh0n	2.721
mesh1n	2.753
mesh2n	2.769
mesh0y	2.892
mesh1y	3.081
mesh2y	3.047
jemalloc	2.774
libc	2.783
mesh0n	2.748
mesh1n	2.750
mesh2n	2.734
mesh0y	2.844
mesh1y	3.067
mesh2y	3.074
jemalloc	2.778
libc	2.827
mesh0n	2.733
mesh1n	2.737
mesh2n	2.750
mesh0y	2.869
mesh1y	3.098
mesh2y	3.053
jemalloc	2.746
libc	2.841
mesh0n	2.726
mesh1n	2.731
mesh2n	2.747
mesh0y	2.875
mesh1y	3.042
mesh2y	3.038
jemalloc	2.753
libc	2.787
mesh0n	2.774
mesh1n	2.747
mesh2n	2.811
mesh0y	2.879
mesh1y	3.077
mesh2y	3.096
jemalloc	2.802
libc	2.886
mesh0n	2.823
mesh1n	2.755
mesh2n	2.815
mesh0y	2.867
mesh1y	3.039
mesh2y	3.059
jemalloc	2.763
libc	2.822
